Title,Inventor,Assignee,Application number,Publication number,Priority information,Publication date,Kind,Patent number,Patent office,Filing date,Publication year,Document type,Abstract,Designated states,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Field of search,IPC code,CPC code,Database,Copyright,Data Provider
"Fumed silanized silica","Meyer, Jürgen; Scholz, Mario ","EVONIK DEGUSSA","13406727","US8552107","EP 05112922 12/25/2005 US 201213406727 02/28/2012 EP 05112922 12/23/2005 US 8595406 12/05/2006 EP 2006069308 12/05/2006 05112922 12085954 PCT/EP2006/069308 US201213406727 EP20050112922 US20060085954 WO2006EP69308 ","10/08/2013","B2 - Patent with a pre-grant publication","8552107","US","02/28/2012","2013","Granted patent","Fumed silanized silica with the following physico-chemical data: Grindometer value less than 20 .mu.m Tamped density 25 to 85 g/l is prepared by grinding fumed silica which has been silanized. It can be used in silicone rubber.","","Particle size","Silica - Jets - Carbon - Fighter aircraft - Silicon rubber - Silicone rubber","Air-jet mills - BET surface area - Carbon content - Dimethyldichlorosilane - Fumed silicas - Physico-chemical data - Physiochemical data - Primary particle size - Silanized - Silanized silicas","207.1 Polymer Products - 212.2 Elastomers - 301.1.3 Aerodynamics (fluid flow) - 804 Chemical Products - 804.2 Inorganic Compounds - 941.5 Mechanical Variables Measurements - 1301.1.2 Physical Properties of Gases, Liquids and Solids","524/588 ","C08L83/04","B82Y30/00 - C01B33/183 - C01P2004/52 - C01P2004/64 - C01P2006/11 - C01P2006/12 - C01P2006/22 - C08K9/06 - C09C1/3081","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Method and device for estimating molecular parameters in a sample processed by means of chromatography","Gerfault, Laurent; Grangeat, Pierre ","COMMISSARIAT A L'ENERGIE ATOMIQUE & ENERGIES ALTERNATIVES","13162366","EP2647990","FR 12053181 04/05/2012 FR 1253181 04/05/2012 1253181 FR20120053181 ","10/09/2013","A1 - Application published with search report","2647990","EP","04/04/2013","2013","Patent application","The method comprises passing (100) a sample (E) through a processing chain including a chromatography step, obtaining (102) a representative signal of molecular parameters as a function of a variable of the processing chain, and estimating (104, 106, 108) the molecular parameters using a signal processing device by inverting a direct analytical model of the signal defined as the function of the molecular parameters and technical parameters of the processing chain. The processing chain includes a step for multiple measurements of the same product from the chromatography step. The method comprises passing (100) a sample (E) through a processing chain including a chromatography step, obtaining (102) a representative signal of molecular parameters as a function of a variable of the processing chain, and estimating (104, 106, 108) the molecular parameters using a signal processing device by inverting a direct analytical model of the signal defined as the function of the molecular parameters and technical parameters of the processing chain. The processing chain includes a step for multiple measurements of the same product from the chromatography step. The direct analytical model of the signal comprises modeling of the measurement step, where the modeling requires a common characteristic of the signals obtained from the measurements. The common characteristic comprises a common chromatographic temporal form of the obtained signals. The multiple-measurements step comprises tandem mass spectrometry of products from the chromatography step such as selected reaction monitoring spectrometry. The direct analytical model is described as given in the specification. The direct analytical model is inverted by minimizing a squared error according to the least squares criterion or by a Bayesian inversion method. The squared error to be minimized is a regularized squared error as given in the specification. An independent claim is included for a device for estimating molecular parameters in a sample.Ce procédé d'estimation de paramètres moléculaires dans un échantillon (E) comporte les étapes suivantes : faire passer (100) l'échantillon (E) par une chaîne de traitement incluant une étape de chromatographie ; obtenir (102) ainsi un signal représentatif des paramètres moléculaires en fonction d'au moins une variable de la chaîne de traitement ; et estimer (104, 106, 108) les paramètres moléculaires à l'aide d'un dispositif de traitement de signal par inversion d'un modèle analytique direct dudit signal défini en fonction des paramètres moléculaires et de paramètres techniques de la chaîne de traitement.En outre, la chaîne de traitement inclut une étape de mesures multiples d'un même produit issu de l'étape de chromatographie, le modèle analytique direct dudit signal comporte la modélisation de cette étape de mesures multiples, et cette modélisation impose au moins une caractéristique commune entre signaux obtenus de ces mesures multiples.","AL - AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MK - MT - NL - NO - PL - PT - RO - RS - SE - SI - SK - SM - TR - ","Parameter estimation","Analytical models - Chromatography - Mass spectrometry - Chains - Biomedical signal processing - Molecular biology - Proteins - Blood - Molecular modeling","Measurements of - Molecular parameters - Multiple measurements - Parameter estimation method - Process chain - Processing chain - Signal processing devices - Squared errors - Tandem mass spectrometry - Tandem-mass spectrometry","601.2 Machine Components - 602.1 Mechanical Drives - 716.1 Information Theory and Signal Processing - 802.3 Chemical Operations - 804.1 Organic Compounds - 805 Chemical Engineering - 1201 Mathematics - 1201.12 Modeling and Simulation - 1202 Statistical Methods - 1301.1.3 Atomic and Molecular Physics - 1301.1.3.1 Spectroscopy",,"G01N30/86 - G01N30/72 - G01N30/88 - G01N33/68 - G06F17/17 - G06F19/10","G01N30/72 - G01N30/86 - G01N30/88 - G01N2030/8813 - G01N27/623","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Method for Supplementing a Sample with Specific Information and Sample Tube System","Huber, Fritz; Pfahlert, Volker; Fuhrmann, Markus; Kirchhöfer, Renate ","NUMARES","14651258","US20150331002","EP 12197256 12/14/2012 US 201314651258 12/11/2013 EP 12197256 12/14/2012 US 201261737248 12/14/2012 EP 2013076236 12/11/2013 12197256.6 61737248 PCT/EP2013/076236 US201314651258 EP20120197256 US201261737248P WO2013EP76236 ","11/19/2015","A1 - Patent application (publication)","20150331002","US","12/11/2013","2015","Patent application","Provided is a method for supplementing a sample with specific information. This method includes the following steps: intrinsically marking a sample by adding a chemical marker having a defined composition to the sample; storing data reflecting the composition of the chemical marker and information assigned to the chemical marker, wherein this marker-assigned information is not related to the composition of the chemical marker itself; analyzing the sample with an analysis method, wherein the analysis method is suited to detect the composition of the chemical marker, to obtain a marker-related result; comparing the marker-related result with the stored data; and assigning the marker-assigned stored information to the sample based on the preceding comparison.","",,,"Access rights - Analysis method - Chemical information - Chemical markers - Sample information - Sample tube - Specific information - Time points - Tube systems - Unique identifications",,,"G01N35/00","G01N35/732 - G01N33/50 - G01N2035/831 - Y10T436/13","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"METHODS TO IDENTIFY MACROMOLECULE BINDING AND AGGREGATION PRONE REGIONS IN PROTEINS AND USES THEREFOR","Chennamsetty, Naresh; Helk, Bernhard; Trout, Bernhardt; Kayser, Veysel; Voynov, Vladimir ","MASSACHUSETTS INSTITUTE OF TECHNOLOGY; NOVARTIS","13000353","US20110257104","US 200913000353 06/19/2009 US 7446608 06/20/2008 US 2009047954 06/19/2009 61074466 PCT/US09/47954 US200913000353 US20080074466P WO2009US47954 ","10/20/2011","A1 - Patent application (publication)","20110257104","US","06/19/2009","2011","Patent application","The present invention provides methods and computational tools based, at least in part, on computer simulations that identify macromolecule binding regions and aggregation prone regions of a protein. Substitutions may then be made in these aggregation prone regions to engineer proteins with enhanced stability and/or a reduced propensity for aggregation. Similarly, substitutions may then be made in these macromolecule binding regions to engineer proteins with altered binding affinity for the macromolecule.","","Molecular dynamics","Atoms - Macromolecules - Binding energy - Proteins - Bioinformatics - Computational chemistry","Accessible areas - Aggregation propensity - Amino acid residues - Binding affinities - Computational tools - Dynamics simulation - Enhanced stability - Spatial aggregation - Spatial regions - Structural modeling","205.1 Polymeric Materials - 801.3 Physical Chemistry - 804.1 Organic Compounds - 1201.5 Computational Mathematics - 1301.1.3 Atomic and Molecular Physics",,"A61K38/16 - A61P37/00 - C07K14/00 - G06F19/16 - G06F19/24 - G16C20/50","G16B15/00 - G16B40/00 - G16C99/00 - A61K38/00 - A61P37/00 - G16B15/20 - G16C20/50 - G16C10/00 - G16B99/00 - G16B5/00 - G16B20/00 - A61K39/39591 - C07K16/1063 - C07K16/18 - C07K14/71 - C07K16/00 - C07K2317/94","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Gas sensor for detection of explosive compound in air, has gas-sensitive layer with detection material comprising molecularly embossed polymer, whose electronic function of material changes with interaction with volatile organic compound","Fleischer, Maximilian; Jeanty, Philippe; Pohle, Roland; Stegmeier, Stefan ","SIEMENS","102012215498","DE102012215498","DE 102012215498 08/31/2012 DE201210215498 ","03/06/2014","A1 - Document laid open (first publication)","102012215498","DE","08/31/2012","2014","Patent application","Es wird ein Gassensor zur Erfassung von Spuren von Sprengstoffen in Luft angegeben, bei dem die Austrittsarbeit eines molekular geprägten Polymers (MIP) als Sensorsignal erfasst wird.Is specified for detecting traces of explosives in a gas sensor It air, the work function of a molecularly imprinted polymer (MIP) in which is detected as a sensor signal.","","Gas detectors","Volatile organic compounds - Work function - Explosives detection - Gases - Explosives - Chemical sensors - Gas sensing electrodes - Field effect transistors - Fluidics - Molecular modeling","Detection of explosives - Electronic functions - Electronic work function - Explosive compounds - Field effect transistor structures - Gas-sensitive layers - Gas-sensors - Molecularly Imprinted Polymer - Sensitive materials - Volatile organics","101.8 Biosensing Technology - 214 Materials Science - 301 Fluids - 714.2 Semiconductor Devices and Integrated Circuits - 802 Chemical Apparatus and Plants; Unit Operations; Unit Processes - 802.3 Chemical Operations - 804.1 Organic Compounds - 914.1 Accidents and Accident Prevention - 942.1.7 Special Purpose Instruments - 942.2.2 Detectors and Sensing - 1301.1.3 Atomic and Molecular Physics - 1301.1.4 Quantum Theory; Quantum Mechanics",,"G01N27/414 - G01N27/00","G01N27/4146 - G01N27/414","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"FUMED SILANIZED SILICA","MEYER, Jürgen; Scholz, Mario ","EVONIK DEGUSSA","13406727","US20120220694","EP 05112922 12/25/2005 US 201213406727 02/28/2012 EP 05112922 12/23/2005 US 8595406 12/05/2006 EP 2006069308 12/05/2006 0 5112922.9 12085954 PCT/EP2006/069308 US201213406727 EP20050112922 US20060085954 WO2006EP69308 ","08/30/2012","A1 - Patent application (publication)","20120220694","US","02/28/2012","2012","Patent application","Fumed silanized silica with the following physico-chemical data: Grindometer value less than 20. mu. m Tamped density 25 to 85 g/l is prepared by grinding fumed silica which has been silanized. It can be used in silicone rubber.","","Silica","Silicon rubber - Silicone rubber","BET surface area - Fumed silicas - Physico-chemical data - Physiochemical data - Silanized - Silanized silicas - Silicon rubbers - Silicone rubber","207.1 Polymer Products - 212.2 Elastomers",,"C07F7/08 - C08K9/06","B82Y30/00 - C01B33/183 - C01P2004/52 - C01P2004/64 - C01P2006/11 - C01P2006/12 - C01P2006/22 - C08K9/06 - C09C1/3081","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"MOLECULARLY IMPRINTED POLYMERS FOR THE RECOGNITION OF GLUTATHIONE GSH, METHODS FOR PREPARING SAME AND USES THEREOF","PEROLLIER CELINE; PEROLLIER, Céline; BAYOUDH SAMI; BAYOUDH, Sami ","POLYINTELL; PEROLLIER CELINE; BAYOUDH SAMI","FR08051815","WO2009056716","FR 07058193 10/10/2007 FR 0758193 10/10/2007 0758193 FR20070058193 ","05/07/2009","A1 - Published application with search report","2009056716","WO","10/08/2008","2009","Patent application","The present invention relates to new molecularly imprinted polymers which are suitable for the selective recognition of glutathione GSH and/or of an analogue thereof, and in particular which are of use for the treatment of media comprising in particular a mixture of glutathione GSH, and/or of an analogue thereof, with GSH adducts.La présente invention concerne de nouveaux polymères à empreintes moléculaires adaptés à la reconnaissance sélective du glutathion GSH et/ou de l'un de ses analogues, et en particulier utiles pour le traitement de milieux comprenant notamment un mélange de glutathion GSH et/ou de l'un de ses analogues avec des adduits du GSH.","AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HR - HU - IE - IS - IT - LI - LT - LU - LV - MC - MT - NL - NO - PL - PT - RO - SE - SI - SK - TR - ","Polymerization","Biosynthesis - Molecular modeling - Molecular docking","Copolymerisation - General formulas - Gluthathione - Heteroatoms - Hydrocarbon chains - Labile bonds - Molecularly imprinted - Molecularly Imprinted Polymer - Pumping mechanism - Selective recognition","205.2 Polymerization - 801.1 Biochemistry - 802.2 Chemical Reactions - 1106.1 Computer Programming - 1301.1.3 Atomic and Molecular Physics",,"C08F220/38 - G01N33/531","C08F220/387 - G01N33/68 - G01N2600/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"IMPLANTABLE THERANOSTIC ARTICLE","BORCK, Alexander; BUNGE, Andreas; BIELA, Sarah ","BIOTRONIK","13281472","US20120123235","US 201113281472 10/26/2011 US 41280210 11/12/2010 61412802 US201113281472 US20100412802P ","05/17/2012","A1 - Patent application (publication)","20120123235","US","10/26/2011","2012","Patent application","A theranostic article has one or more specific molecular recognition markers for cells on the surface thereof, wherein the recognition markers are selected from the group consisting of peptides, proteins, antibodies, antigens, aptamers, molecular imprinted polymers and polynucleotides. When the article is implanted in a body, cellular ingrowth is controlled, with desired cell types anchoring and proliferating on the implant's surface to generate a thin layer, and thereafter ceasing accumulation. The cellular layer thereby presents a biomimetic surface acceptable to the body, and also presents a low barrier to diffusion of analytes with at least substantially constant diffusion characteristics, allowing use of an analyte sensor within the article.","","Endothelial cells","Cytology - Peptides - Molecular recognition - Polymeric implants - Biomimetics - Molecular modeling - Diffusion barriers - Theranostics - Biosynthesis","Anchorings - Antibody-antigen - Aptamers - Cell types - Cellular ingrowth - Implant surface - Molecular imprinted polymers - Peptide proteins - Polynucleotides - Theranostics","101.2.3 Prosthetics - 102.1 Medicine - 103 Biology - 201.9.3 Metal Plating - 801 Chemistry - 801.1 Biochemistry - 802.2 Chemical Reactions - 804.1 Organic Compounds - 1301.1.3 Atomic and Molecular Physics",,"A61B5/00 - A61M5/00 - A61N1/36","A61B5/31 - A61B5/14532 - A61B5/14735 - A61B5/4839 - A61B2018/13 - A61B2562/28 - A61B2562/18","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"DETERMINATION AND ESTIMATION OF ABSORPTION AND DISTRIBUTION OF SUBSTANCES IN BRAIN TISSUE","Boriss, Hinnerk; Schmitt, Johannes ","SOVICELL","12864269","US20110065208","DE 102008007673 01/25/2008 DE 102008007673 01/25/2008 EP 2009000482 01/26/2009 10 2008 007 673.2 PCT/EP2009/000482 DE20081007673 WO2009EP00482 ","03/17/2011","A1 - Patent application (publication)","20110065208","US","01/26/2009","2011","Patent application","A method determines or estimates the absorption and partition of substances into brain tissue and parameters derivable therefrom, such as the permeability of substances through the blood-brain barrier and also, more particularly, the proportion of substances freely available in the brain. The partition coefficient of the corresponding substance between an aqueous phase and the lipid phase is determined with the help of lipid membranes which are preferably contained in a test kit and immobilized on a solid body as a carrier material. The partition coefficient can be subsequently used as a parameter in a QSAR model to determine the blood-brain partition coefficient.","","Tissue","Blood - Computational chemistry - Parameter estimation - Brain - Membranes - Molecular graphics","Aqueous phasis - Blood plasma - Brain tissue - Carrier material - Lipid membranes - Lipid phase - Partition coefficient - Quantitative structure-activity relationship modeling - Solid bodies - Test kits","101.3 Tissue Engineering - 103 Biology - 214 Materials Science - 801.3 Physical Chemistry - 902.1 Engineering Graphics - 1201 Mathematics - 1201.5 Computational Mathematics - 1202 Statistical Methods",,"G01N33/92 - G01N33/53","G01N33/5432 - G01N33/92 - G01N2405/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Molecularly imprinted polymers for the recognition of glutathione GSH, methods for preparing same and uses thereof","Perollier, Celine; Bayoudh, Sami ","POLYINTELL","12681977","US8344082","FR 07058193 10/10/2007 FR 0758193 10/10/2007 FR 2008051815 10/08/2008 07 58193 PCT/FR2008/051815 FR20070058193 WO2008FR51815 ","01/01/2013","B2 - Patent with a pre-grant publication","8344082","US","10/08/2008","2013","Granted patent","The present invention relates to new molecularly imprinted polymers which are suitable for the selective recognition of glutathione GSH and/or of an analog thereof, and in particular which are of use for the treatment of media comprising in particular a mixture of glutathione GSH, and/or of an analog thereof, with GSH adducts.","","Styrene","Free radicals - Sol-gels - Sulfur compounds - Molecular modeling - Biosynthesis - Copolymerization - Sol-gel process - Unsaturated polymers - Chemical bonds","Copolymerisation - General formulas - Gluthathione - Heteroatoms - matrix - Molecular imprint - Molecularly Imprinted Polymer - Recognition site - Selective recognition - Sulfhydryl","204.4 Glass - 205.1.1 Organic Polymers - 205.2 Polymerization - 801.1 Biochemistry - 801.3 Physical Chemistry - 802.2 Chemical Reactions - 804 Chemical Products - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 1301.1.3 Atomic and Molecular Physics","526/238.1 - 526/286 - 526/288 - 526/289 - 526/317.1 - 530/331 ","C07K1/14 - C08F12/30 - C08F20/06 - C08F26/02 - C08F128/02 - C08H1/00","C08F220/387 - G01N33/68 - G01N2600/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Fumed silanized silica","Meyer, Jürgen; Scholz, Mario ","EVONIK DEGUSSA","12085954","US8211971","EP 05112922 12/23/2005 EP 05112922 12/23/2005 EP 2006069308 12/05/2006 05112922 PCT/EP2006/069308 EP20050112922 WO2006EP69308 ","07/03/2012","B2 - Patent with a pre-grant publication","8211971","US","12/05/2006","2012","Granted patent","Fumed silanized silica with the following physico-chemical data: Grindometer value less than 20 μm Tamped density 25 to 85 g/l is prepared by grinding fumed silica which has been silanized. It can be used in silicone rubber.","","Polyvinyl acetates","Silica - Carbon - Organic carbon - Silicone rubber - Hydrocarbons","Alkenyl - Alkyl radicals - Carbon atoms - Fumed silicas - Physico-chemical data - Physico-chemicals - Silanized - Silanized silicas - Silicone rubber - Total mass","205.1.1 Organic Polymers - 212.2 Elastomers - 804.1 Organic Compounds - 804.2 Inorganic Compounds","524/588 ","C08L83/08","B82Y30/00 - C01B33/183 - C01P2004/52 - C01P2004/64 - C01P2006/11 - C01P2006/12 - C01P2006/22 - C08K9/06 - C09C1/3081","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Cosmetic preparations based on molecularly imprinted polymers","V·文德尔; VOLKER WENDEL; O·布吕格曼; OLIVER BRUEGGEMANN; A·普托克; ARNE PTOCK ","巴斯夫欧洲公司; BASF","200780034556","CN101516448","EP 06120922 09/19/2006 EP 2007059683 09/14/2007 EP 06120922 09/19/2006 06120922.7 WO2007EP59683 EP20060120922 ","08/26/2009","A - Unexamined application for a patent for invention","101516448","CN","09/14/2007","2009","Patent application","本发明涉及包含至少一种活性成分、至少一种在该活性成分存在下分子印迹的聚合物和至少一种脂相的化妆品制剂或皮肤病制剂。The patent refers to the field of 'use of cosmetics or similar toilet preparations'. The present invention relates to cosmetic or dermatological preparations comprising at least one active ingredient, at least one molecularly imprinted polymer in the presence of this active ingredient and at least one fatty phase.","","Cosmetics","Patents and inventions - Polymerization - Molecular modeling","Active compounds - Active ingredients - Cosmetic formulations - Molecular imprinted polymers - Molecularly Imprinted Polymer - Release rate","205.2 Polymerization - 902.3 Legal Aspects - 1301.1.3 Atomic and Molecular Physics",,"A61Q1/00 - A61K8/06 - A61Q5/02 - A61Q5/06 - A61Q5/12 - A61Q17/04 - A61Q19/00 - A61Q19/04 - A61Q19/10","A61K8/8117 - A61K8/817 - A61K2800/54 - A61Q5/02 - A61Q5/12 - A61Q17/04 - A61Q19/00 - A61Q19/04 - A61Q19/10 - A61P17/00 - A61P17/16 - A61P17/18 - A61P3/02 - A61P43/00 - A61K8/06 - A61K8/81 - A61K8/8164 - A61K8/8194 - A61Q1/00 - A61Q5/06","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"METHOD FOR PRODUCING MOLECULARLY IMPRINTED POLYMERS","SELLERGREN, Börje; TITIRICI, M. Magdalena ","UNIVERSITY OF DORTMUND INFU","05756650","EP1781711","DE 102004032430 07/03/2004 SE 2005001096 07/04/2005 DE 102004032430 07/03/2004 SE2005001096 102004032430 WO2005SE01096 DE20041032430 ","05/09/2007","A1 - Application published with search report","1781711","EP","07/04/2005","2007","Patent application","The invention relates to a method for producing molecular imprinted polymers (MIP) which are applied as a thin film to the surface of a support material, in which a suspension of at least one functional monomer, one template and one initiator is used for the polymerisation, and with which RAFT agents are employed.","AT - BE - BG - CH - CY - CZ - DE - DK - EE - ES - FI - FR - GB - GR - HU - IE - IS - IT - LI - LT - LU - LV - MC - NL - PL - PT - RO - SE - SI - SK - TR - ","Polymerization","Molecular modeling","Functional monomer - Molecular imprinted polymers - Molecularly Imprinted Polymer - RAFT agents - Support materials - Thin-films","1301.1.3 Atomic and Molecular Physics",,"C08F2/00 - C08F2/38","C08F2/38 - C08F220/06 - B01J20/268 - B01J20/285 - C08F222/102","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"MIP-Nanoparticles- chip sensor, its use and analytical detection methods","STEINFELD UTE; LEE HYECK-HEE; KIM JUNG TAE ","KIST EUROPE FORSCHUNGSGES","102008039624","DE102008039624","DE 102008039624 08/25/2008 DE20081039624 ","03/18/2010","A1 - Document laid open (first publication)","102008039624","DE","08/25/2008","2010","Patent application","Die vorliegende Erfindung betrifft einen Chipsensor zum Nachweis mindestens eines Analyten in einer Probe, wobei der Sensor auf einem Cantilever mit molekular geprägtem Polymer (MIP)-Nanopartikeln beruht. Die Erfindung betrifft weiterhin ein Verfahren zum Nachweis mindestens eines Analyten in einer Probe, bei dem dieser Chipsensor eingesetzt wird. Verwendung finden die erfindungsgemäßen Sensoren für vielfältige analytische Anwendungen in den Bereichen Medizin, Lebensmittelchemie und Umwelt.The invention relates to a chip sensor for detecting at least one analyte in a sample containing at least one microfluidic system having at least one flow channel and at least one cantilever arranged in the flow channel. Nanoparticles containing at least one molecular imprinted polymer, which has specific binding cavities for the at least one analyte, are arranged on the surface of the cantilever at least in some areas.","","Nanocantilevers","Channel flow - Fluidic devices - Microfluidics - Nanoparticles - Silica - Molecular modeling","Analytes - Analytical detection - Binding cavity - Detection methods - Flow channels - Flow passage - Microfluidics systems - Molecular imprinted polymers - Molecularly Imprinted Polymer - Specific binding","732.1 Control Equipment - 761 Nanotechnology - 804.2 Inorganic Compounds - 1301.1.3 Atomic and Molecular Physics - 1301.4 Solid State Physics - 1401.2 Hydraulic Equipment and Machinery - 1401.4.1 Microfluidics",,"G01N5/02 - G01N33/483 - G01N33/50","G01N29/22 - B01L3/5027 - B82Y15/00 - G01N29/222 - G01N2291/01 - G01N2291/255 - G01N2291/256 - G01N2291/427 - G01N2600/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Use of inorganic particles and method for marking and identifying a substrate or an article","Rozumek, Olivier; Müller, Edgar ","SICPA HOLDING SA","98118635","EP927750","EP 97811029 12/29/1997 EP 98118635 10/02/1998 EP 97811029 12/29/1997 97811029 EP19980118635 EP19970811029 ","01/19/2011","B2 - Amended patent","927750","EP","10/02/1998","2011","Granted patent","The present invention relates to inorganic particles comprising at least two chemical elements in a predefined and analytically identifiable ratio. These particles are used as a marking means incorporated into or applied onto any desired article. They provide a high security potential against counterfeiting since the analysis depend on a combination of spatial as well as of chemical information. In a first step the information containing particle has to be localized by scanning electron microscopy and in a second step the ratio of elements is analysed using energy - or wavelength-dispersive X-ray analysis (SEM/EDX).","AT - BE - CH - DE - DK - ES - FI - FR - GB - GR - IE - IT - LI - NL - PT - SE - ","Scanning electron microscopy","Electrons - Energy dispersive X ray analysis - Chemical elements - Crystals","Chemical information - Energy dispersive - High securities - Inorganic particles - Localised - Nonstoichiometric - Scanning electrons - SEM-EDX - Stoichiometric crystals - Wavelength dispersive X-rays","805 Chemical Engineering - 941.9 Radiation Measurements - 1301.1.3 Atomic and Molecular Physics - 1301.3.1 Microscopy - 1301.4.1 Crystalline Solids and Crystallography",,"B41M3/14 - B42D15/00 - B42D15/10 - C09C1/00 - C09D7/12 - C09D201/00 - D21H21/40 - G06K1/12 - G06K7/00 - G06K19/06","B41M3/14 - B41M3/144 - C01P2002/02 - C01P2002/85 - C01P2004/03 - C01P2004/61 - C01P2004/62 - C01P2006/42 - C01P2006/60 - C01P2006/80 - C09C1/00 - C09C1/15 - C09C1/21 - C09C1/78 - C09C1/81 - C09C2200/1087 - C09C2210/10 - C09C2210/20 - C09C2210/50 - C09C2220/20 - C09D11/50 - B42D25/29 - B42D15/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"Use of inorganic particles and procedure for the marking and identification of a substrate or article","ROZUMEK OLIVIER; MUELLER EDGAR ","SICPA HOLDING SA, PRILLY, CH","69823321","DE69823321","EP 97811029 12/29/1997 EP 98118635 10/02/1998 EP 97811029 12/29/1997 EP 98118635 10/02/1998 97811029 98 11 8635.6 EP19970811029 EP19980118635 ","07/07/2011","T3 - Translation of European patent after modification","69823321","DE","10/02/1998","2011","Granted patent","The present invention relates to inorganic particles comprising at least two chemical elements in a predefined and analytically identifiable ratio. These particles are used as a marking means incorporated into or applied onto any desired article. They provide a high security potential against counterfeiting since the analysis depend on a combination of spatial as well as of chemical information. In a first step the information containing particle has to be localized by scanning electron microscopy and in a second step the ratio of elements is analysed using energy - or wavelength-dispersive X-ray analysis (SEM/EDX).","","Scanning electron microscopy","Electrons - Energy dispersive X ray analysis - Chemical elements - X ray diffraction analysis - Crystals","Chemical information - Energy dispersive - High securities - Inorganic particles - Localised - Nonstoichiometric - Scanning electrons - SEM-EDX - Stoichiometric crystals - Wavelength dispersive X-rays","805 Chemical Engineering - 941.9 Radiation Measurements - 1301.1.3 Atomic and Molecular Physics - 1301.3.1 Microscopy - 1301.4.1 Crystalline Solids and Crystallography",,"B41M3/14 - B42D15/00 - B42D15/10 - C09C1/00 - C09D7/12 - C09D201/00 - D21H21/40 - G06K1/12 - G06K7/00 - G06K19/06","B41M3/14 - B41M3/144 - C01P2002/02 - C01P2002/85 - C01P2004/03 - C01P2004/61 - C01P2004/62 - C01P2006/42 - C01P2006/60 - C01P2006/80 - C09C1/00 - C09C1/15 - C09C1/21 - C09C1/78 - C09C1/81 - C09C2200/1087 - C09C2210/10 - C09C2210/20 - C09C2210/50 - C09C2220/20 - C09D11/50 - B42D25/29 - B42D15/00","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
"MOLECULAR IMPRINTED MATERIAL AND INKJET RECORDING ELEMENT COMPRISING SAID MOLECULAR IMPRINTED MATERIAL","Friour, Gerard A.; Poncelet, Olivier J.; Haupt, Karsten O.; Poul, Laurence G. ","EASTMAN KODAK COMPANY","11574740","US20090233017","FR 04009657 09/13/2004 FR 0409657 09/13/2004 EP 2005009471 09/02/2005 0409657 PCT/EP2005/009471 FR20040009657 WO2005EP09471 ","09/17/2009","A1 - Patent application (publication)","20090233017","US","09/02/2005","2009","Patent application","The present invention relates to an inkjet recording element having outstanding dye keeping properties in time. Said recording element comprises at least one molecular imprinted polymer having sites of selective recognition of dye molecules corresponding to the dye molecules used in inks for inkjet printing.","","Ink jet printing","Silica - Molecules - Monomers - Esters - Polymerization - Ink - Molecular modeling","Dye molecule - Form recognition - Functional monomer - Identical structures - Imprinted materials - Ink jet - Ink-jet printing - Recognition site - Selective recognition - Template molecules","205.2 Polymerization - 804 Chemical Products - 804.1 Organic Compounds - 804.2 Inorganic Compounds - 1301.1.3 Atomic and Molecular Physics",,"B41M5/50 - B41J2/01 - C01B33/16 - C08F20/06 - C08F20/10 - C08F210/00 - C08G18/00 - C08G73/00 - C08G73/06 - C08G77/00 - C08G77/02 - C08G79/00 - C08G79/08 - G01N21/00 - G01N33/00","B41M5/52 - B41M5/5254 - C08G77/00 - C08G77/02","Patents Plus","Compilation and indexing terms, 2026 LexisNexis Univentio B.V.","Engineering Village"
